Date,AQI,PM25,Ozone,NO2,SO2,CO,Windspeed,Temperature,AQI_Label,AQI_Class
3/17/21,58,9.732664882,0.030437357,16.88296938,0.2208335,0.412544792,91.795216,53.00576915,Safe,0
3/18/21,64,9.7508333,0.033503308,17.53325494,0.250694333,0.393456208,89.92026963,56.92147438,Safe,0
3/19/21,57,7.6669746,0.027474385,15.49614813,0.275,0.391107962,95.29722226,58.96378208,Safe,0
3/20/21,54,6.87,0.033280462,7.169984188,0.116666667,0.225717308,99.30354941,57.81602569,Safe,0
3/21/21,55,9.2716667,0.036058923,8.481601063,0.206249833,0.286813042,93.88919752,56.83910254,Safe,0
3/22/21,56,9.745,0.034668071,12.36154913,0.224305667,0.318463083,78.22577156,56.72403838,Safe,0
3/23/21,55,8.644803941,0.038429714,8.970608188,0.147916667,0.241133458,103.7643518,58.42596154,Safe,0
3/24/21,56,7.8585715,0.038461,10.05303013,0.190277667,0.261101045,102.4979166,61.22564108,Safe,0
3/25/21,55,8.6308514,0.035416214,7.137034313,0.109722333,0.221897833,93.36875004,53.41538446,Safe,0
3/26/21,54,7.849038462,0.029147071,10.54067019,0.235139,0.262198042,91.71023279,55.29304031,Safe,0
3/27/21,62,11.1453125,0.031823643,14.99526731,0.420833333,0.391319417,96.41026782,60.64743592,Safe,0
3/28/21,77,10.846875,0.0380295,13.35626137,0.380555667,0.401177542,101.9004463,67.90320515,Safe,0
3/29/21,67,11.2802778,0.038525286,17.16059781,0.535416667,0.39308575,93.58794643,65.19647438,Safe,0
3/30/21,68,14.14388089,0.033422214,11.68883038,0.211201,0.279971917,88.88586307,62.42795431,Safe,0
3/31/21,74,12.79537033,0.037201571,19.70687844,0.434446167,0.394738833,93.38333325,69.49775646,Safe,0
4/1/21,80,9.394230769,0.035605929,21.16977163,0.503472167,0.375775625,87.36314096,71.45961538,Safe,0
4/2/21,93,11.83854163,0.041710214,14.64672519,0.318642167,0.353696583,90.24519231,63.10865385,Safe,0
4/3/21,112,16.10052088,0.040621929,11.37853256,0.295833333,0.349290417,108.8450321,61.83076931,Caution,1
4/4/21,112,12.83777773,0.037962214,11.66425506,0.49375,0.377641833,90.271795,64.01987169,Caution,1
4/5/21,62,10.21302088,0.033096643,11.55387469,0.333333333,0.288375583,90.00496788,61.26474354,Safe,0
4/6/21,66,11.2984375,0.033650714,10.84862175,0.264421,0.271287583,87.67387819,61.3375,Safe,0
4/7/21,87,13.00256408,0.035573929,15.89809506,0.473926833,0.364986846,102.8669871,64.57980777,Safe,0
4/8/21,64,11.72239588,0.035285071,13.27189588,0.4016865,0.329790885,90.63108973,64.00416669,Safe,0
4/9/21,80,12.59635425,0.037886429,13.33694513,0.363194333,0.32469568,91.62724369,64.12211538,Safe,0
4/10/21,100,15.4697222,0.042247857,11.35485731,0.423171167,0.321980667,94.13798065,64.27435892,Safe,0
4/11/21,101,15.02604175,0.045991571,7.255015875,0.268750167,0.268168769,93.30689112,62.71474354,Caution,1
4/12/21,71,14.81979163,0.045689071,7.032076375,0.176389,0.23264496,102.9495193,60.71378208,Safe,0
4/13/21,60,11.5625,0.040033357,6.57056625,0.164583333,0.216190833,111.1156615,57.87905015,Safe,0
4/14/21,63,10.3,0.037759857,7.588853813,0.2125,0.211300542,111.7620192,56.53012823,Safe,0
