Date,Month,PM25,Ozone,NO2,SO2,CO,Windspeed,Temperature,AQI_Yesterday,AQI_Mean7,AQI_Nextday
2021-05-04,5,15.028125,0.041570143,12.15478213,0.4279115,0.285261682,99.29472612,68.66416085,70.0,86.42857142857143,129.0
2021-05-05,5,14.90227273,0.042407857,12.58061719,0.37774975,0.310161045,102.7334936,68.48525638,100.0,96.14285714285714,84.0
2021-05-06,5,12.4529167,0.040405571,8.698550938,0.22916675,0.261214286,101.302564,64.34230762,129.0,95.28571428571429,74.0
2021-05-07,5,9.596944467,0.042134357,7.602038,0.176725333,0.230783136,105.3010452,63.34594492,84.0,86.85714285714286,90.0
2021-05-08,5,9.2420833,0.043415857,5.662216875,0.159722167,0.230940591,95.013141,64.70256423,74.0,86.85714285714286,84.0
2021-05-09,5,12.1070833,0.047575714,4.863507688,0.155555667,0.231827,96.95753215,63.70705131,90.0,90.14285714285714,65.0
2021-05-10,5,11.085049,0.038059,6.210688438,0.146527833,0.218875909,100.3782051,63.25480777,84.0,89.42857142857143,97.0
2021-05-11,5,11.6141667,0.043147571,8.459654125,0.14032725,0.2503784,100.2500001,65.08012823,65.0,89.0,97.0
2021-05-12,5,10.82725,0.043111857,8.452661125,0.12604175,0.247192042,107.9866071,65.174359,97.0,84.42857142857143,97.0
2021-05-13,5,10.00861113,0.044283214,8.323387688,0.1403985,0.241157038,113.3965618,63.95247669,97.0,86.28571428571429,80.0
2021-05-14,5,10.5277976,0.045768857,7.470969063,0.173084833,0.231338231,103.2075321,63.98044869,97.0,87.14285714285714,76.0
2021-05-15,5,8.106203667,0.042951643,4.073267563,0.152083333,0.197871462,100.3818911,62.15416677,80.0,85.14285714285714,64.0
2021-05-16,5,4.5225,0.039923077,3.7461836,0.153472333,0.194050346,108.0641026,59.35352562,76.0,82.28571428571429,56.0
2021-05-17,5,5.5765625,0.036629769,7.0362102,0.165972333,0.2127415,113.4700321,61.98012808,64.0,81.0,74.0
2021-05-18,5,8.514166625,0.037680786,8.811511467,0.179861167,0.239033423,106.8799679,65.13653838,56.0,77.71428571428571,84.0
2021-05-19,5,10.32388887,0.040413,8.238856125,0.167361,0.244926346,95.55673077,64.39395208,74.0,75.85714285714286,66.0
2021-05-20,5,12.1409568,0.038714286,7.483975625,0.186805667,0.2052295,108.3518589,62.19647438,84.0,71.42857142857143,61.0
2021-05-21,5,11.0716667,0.0372365,7.255370063,0.202083333,0.212984423,112.4278847,60.61217946,66.0,68.71428571428571,61.0
2021-05-22,5,10.17573529,0.035638643,5.588915313,0.232638833,0.201671538,95.45929492,59.06153846,61.0,66.57142857142857,62.0
2021-05-23,5,10.7558333,0.033294143,7.514402125,0.3875,0.262790115,98.26362173,62.59551277,61.0,66.28571428571429,97.0
2021-05-24,5,11.01875,0.039659714,14.91876131,0.509027833,0.332071231,103.8578525,71.82756415,62.0,72.14285714285714,100.0
2021-05-25,5,10.6727778,0.038525286,13.70870713,0.390277833,0.299816731,92.995032,72.19743585,97.0,75.85714285714286,71.0
2021-05-26,5,11.55875,0.036485071,8.790138813,0.245138833,0.225810154,92.58701927,67.263782,100.0,74.0,90.0
2021-05-27,5,11.5174999,0.040088143,7.381895375,0.234722167,0.207559923,100.0535257,65.24807677,71.0,77.42857142857143,122.0
2021-05-28,5,11.20661765,0.041082071,8.970093375,0.24375,0.252010885,100.063141,65.38044869,90.0,86.14285714285714,71.0
2021-05-29,5,9.67,0.039109214,5.839141688,0.198611167,0.2017865,101.9490384,63.54198715,122.0,87.57142857142857,80.0
2021-05-30,5,7.8154167,0.040958,4.748324375,0.1569445,0.2026395,93.06714746,65.28269238,71.0,90.14285714285714,101.0
2021-05-31,5,9.660555533,0.041731071,5.385258188,0.1444445,0.22064492,98.08589735,66.846795,80.0,90.71428571428571,140.0
2021-06-01,6,12.2804167,0.040962214,9.733808813,0.173611,0.269165125,106.9176282,68.38012823,101.0,96.42857142857143,161.0
2021-06-02,6,10.7475,0.042336071,10.53340131,0.171527833,0.269979269,109.8778846,68.57852569,140.0,109.28571428571429,159.0
